m/z,Average,Tryp R05,IMS199_Chemo_Left_4K,IMS199_Control_Right_Bottom_4K,IMS199_Control_Right_Top_4K
698.9430542,0.929111,1.67152,1.01112,0.688795,0.757557
699.6390991,0.929111,1.67152,1.01112,0.688795,0.757557
700.335144,0.929111,1.67152,1.01112,0.688795,0.757557
701.0311279,0.965438,1.77761,0.842127,0.883645,0.98172
701.7271729,4.38755,18.8892,3.18036,3.29539,2.99029
702.4232178,3.09356,25.5522,1.64812,1.11377,0.897972
703.1192627,2.03938,13.3392,0.857126,1.22718,1.44248
703.8152466,1.42066,5.72602,1.06611,1.01395,1.04026
704.5112915,1.13712,3.97193,0.938317,0.820703,0.857196
705.2073364,0.994193,3.54305,0.797184,0.682153,0.776527
705.9033813,1.05284,3.88202,0.800896,0.748075,0.814309
706.5994263,1.04438,3.8657,0.840456,0.733498,0.782055
707.2954102,0.906026,2.90022,0.794807,0.653522,0.71507
707.9914551,1.11466,4.92341,0.754248,0.739614,0.831292
708.6875,1.02865,3.0055,0.890122,0.783952,0.863474
709.3835449,0.995489,2.48093,0.981959,0.748014,0.790578
710.0795898,0.990164,2.11228,0.838514,0.87595,0.972871
710.7755737,1.03093,2.00697,0.961367,0.885455,0.949841
711.4716187,0.934971,1.64455,0.929318,0.787968,0.832328
712.1676636,0.855443,1.63468,0.788482,0.726936,0.815963
712.8637085,0.913706,1.56337,0.857116,0.797565,0.880994
713.5597534,0.939118,1.49688,0.932196,0.799055,0.874033
714.2557373,0.84916,1.48744,0.84959,0.685242,0.777578
714.9517822,0.915756,1.50635,0.840851,0.828491,0.906668
715.6478271,2.01625,1.4588,2.20489,2.01791,1.91142
716.3438721,1.03272,1.59537,1.21825,0.709433,0.801908
717.039856,1.1429,1.54019,0.941489,1.23268,1.26348
717.7359009,1.37578,4.62311,1.11762,1.02354,1.06691
718.4319458,1.31292,6.47851,0.944803,0.795431,0.836403
719.1279907,1.11633,4.84543,0.774515,0.743746,0.852545
719.8240356,1.02901,3.35991,0.844276,0.764436,0.840912
720.5200195,0.986153,2.4159,0.922692,0.767505,0.828236
721.2160645,0.871509,1.97086,0.800121,0.695809,0.790219
721.9121094,0.942248,1.92967,0.857308,0.786456,0.869067
722.6081543,0.937603,1.88898,0.882905,0.777436,0.850106
723.3041992,0.874251,1.68634,0.888367,0.685103,0.747491
724.0001831,1.10785,3.65754,0.855543,0.909913,0.978869
724.696228,1.08358,3.141,0.936185,0.867577,0.923472
725.3922729,0.992092,2.60199,0.929251,0.789127,0.819771
726.0883179,1.00685,3.21966,0.781776,0.766162,0.854758
726.7843628,0.998144,2.16065,0.913078,0.844212,0.914547
727.4803467,0.958044,1.89551,0.953747,0.765996,0.817071
728.1763916,0.932961,2.34463,0.802001,0.727835,0.837334
728.8724365,0.971894,1.86326,0.898964,0.826146,0.911027
729.5684814,1.0137,1.73767,1.01039,0.850725,0.888449
730.2645264,0.92442,1.76122,0.898596,0.739784,0.826066
730.9605103,0.970711,1.57699,0.882179,0.879991,0.961293
731.6565552,1.07874,1.61943,1.07165,0.967266,0.998073
732.3526001,0.884753,1.54923,0.914928,0.69294,0.771464
733.048645,0.910081,1.49066,0.815501,0.848455,0.918118
733.7446289,1.00266,1.45203,0.983859,0.893281,0.943322
734.4406738,0.918975,1.52023,0.934742,0.76654,0.797408
735.1367188,0.850857,1.36801,0.796758,0.736863,0.838694
735.8327637,0.930903,1.26884,0.909674,0.830243,0.894737
736.5288086,0.932386,1.29728,0.939649,0.830297,0.861735
737.2247925,0.905827,1.26409,0.95468,0.751786,0.81835
737.9208374,1.08175,2.22711,0.946293,0.981312,0.997471
738.6168823,1.04583,1.55056,1.05681,0.936227,0.94901
739.3129272,0.894341,1.37573,0.952168,0.714728,0.774369
740.0089722,1.08317,3.59621,0.827417,0.9249,0.959927
740.7049561,1.04997,2.97093,0.932878,0.843978,0.876718
741.401001,0.978773,2.66138,0.912035,0.746785,0.778625
742.0970459,0.958654,2.71371,0.784404,0.783008,0.851935
742.7930908,1.02313,2.04196,0.962916,0.870222,0.915805
743.4891357,0.957519,1.77745,0.974542,0.796555,0.79791
744.1851196,0.918493,1.78624,0.84821,0.771749,0.862942
744.8811646,1.03281,1.72285,0.972817,0.942383,0.978295
745.5772095,1.06027,1.60249,1.07949,0.956098,0.950265
746.2732544,0.871013,1.45564,0.876299,0.722124,0.794534
746.9692993,0.948362,1.51137,0.873214,0.874091,0.937581
747.6652832,0.977494,1.52055,0.962743,0.875889,0.893016
748.3613281,0.864075,1.40704,0.889018,0.712188,0.77076
749.057373,0.90147,1.6857,0.815827,0.805292,0.870904
749.753418,1.00542,1.89485,0.960401,0.879545,0.917091
750.4494019,0.938785,1.76535,0.955929,0.770782,0.815893
751.1454468,0.938705,1.55543,0.87397,0.863015,0.921039
751.8414917,1.02953,1.61116,1.00944,0.930326,0.962836
752.5375366,0.921635,1.38162,0.934848,0.811632,0.842102
753.2335815,0.860519,1.2802,0.849927,0.761375,0.821284
753.9295654,0.914811,1.25125,0.873519,0.85245,0.896049
754.6256104,0.936616,1.33263,0.919989,0.827677,0.867056
755.3216553,0.877802,1.17088,0.946493,0.711214,0.769486
756.0177002,1.06281,1.25239,0.97105,1.10185,1.11178
756.7137451,1.05381,1.21158,1.06654,0.996763,1.02009
757.409729,0.940969,1.36691,1.00103,0.806371,0.818772
758.1057739,0.958995,1.44729,0.895278,0.893569,0.948183
758.8018188,1.20477,1.39585,1.26154,1.06874,1.10823
759.4978638,1.02595,1.21519,1.12253,0.888759,0.90447
760.1939087,0.978651,1.95542,0.873883,0.806093,0.890155
760.8898926,0.956445,1.36518,0.951037,0.863324,0.890812
761.5859375,0.960903,1.46512,0.944274,0.869818,0.874758
762.2819824,0.867148,1.36437,0.879106,0.725456,0.773356
762.9780273,0.978388,2.21524,0.850974,0.840416,0.877211
763.6740112,1.05815,1.56293,1.08591,0.915581,0.935002
764.3700562,0.894121,1.47589,0.919317,0.736509,0.778351
765.0661011,0.876794,1.34063,0.810951,0.794617,0.870472
765.762146,0.961329,1.45091,0.946801,0.852357,0.881667
766.4581909,0.903012,1.22091,0.963473,0.772268,0.781412
767.1541748,0.874612,1.25032,0.837016,0.797479,0.857321
767.8502197,0.974351,1.2221,0.976767,0.891446,0.932749
768.5462646,0.934179,1.18892,0.974574,0.843883,0.852119
769.2423096,0.85855,1.15868,0.866208,0.7688,0.82068
769.9383545,0.955117,1.20278,0.929009,0.898365,0.950512
770.6343384,0.969819,1.12619,1.00517,0.889529,0.911726
771.3303833,0.895403,1.15584,0.956127,0.773728,0.802981
